source_kind	rawcode	name	candidate_type	confidence	suggested_mvp_role	attackable_by_wolves	blocks_ground	upgrade_chain	requires	goldcost	lumbercost	hp	armor	attack_range	cooldown	dmgplus	dice	sides	attack_type	targets	model	doo_count	doo_category	evidence	notes
unit	h008	중형 아케인 타워	defense_tower	high	arcane_tower_tier_2	yes	yes	h016->h008->h017	h00C	500	450	650	8	1000	0.7	56	1	15	chaos	structure,air,ward,debris,ground	buildings\human\HumanTower\HumanTower			name/upgrades/attack stats from unit_rawcode_crosscheck	아케인 타워 라인 2단계.
unit	h017	대형 아케인 타워	defense_tower	high	arcane_tower_tier_3	yes	yes	h008->h017->h01K	h015	900	800	800	9	1100	0.7	84	1	18	chaos	structure,air,ward,debris,ground	buildings\human\HumanTower\HumanTower			name/upgrades/attack stats from unit_rawcode_crosscheck	아케인 타워 라인 3단계.
unit	h01K	초대형 아케인 타워	defense_tower	high	arcane_tower_tier_4	yes	yes	h017->h01K	h01H	1300	1000	1000	13	1200	0.7	118	1	21	chaos	structure,air,ward,debris,ground	buildings\human\HumanTower\HumanTower			name/attack stats from unit_rawcode_crosscheck	아케인 타워 최상위 후보.
unit	hwtw	타워	defense_tower_legacy	low	legacy_watch_tower	maybe	yes	hwtw->hgtw/hctw/hatw		30	20	500	5								buildings\human\HumanTower\HumanTower			standard tower row in unit_rawcode_crosscheck	표준/레거시 휴먼 타워 후보. 닭농장 커스텀 빌드 라인보다 우선도 낮음.
unit	hgtw	팜2	defense_tower_legacy	low	legacy_guard_tower	maybe	yes		hlum	80	60	500	5	700	0.9	22	1	5	pierce	ground,structure,debris,air,item,ward	buildings\human\HumanTower\HumanTower			standard tower row in unit_rawcode_crosscheck	이름이 팜2로 추출되어 역할 불명확. 레거시 타워 후보로만 유지.
unit	hctw	타워2	defense_tower_legacy	low	legacy_cannon_tower	maybe	yes		harm	170	100	600	5	800	2.5	89	1	22	siege	ground,debris,tree,wall,ward,item	buildings\human\HumanTower\HumanTower			standard tower row in unit_rawcode_crosscheck	표준 캐논 타워 후보. 커스텀 라인보다 낮은 신뢰도.
unit	hatw	타워3	defense_tower_legacy	low	legacy_arcane_tower	maybe	yes			80	60	500	5	700	1	7	1	3	normal	ground,structure,debris,air,item,ward	buildings\human\HumanTower\HumanTower			standard tower row in unit_rawcode_crosscheck	표준 아케인 타워 후보. 커스텀 라인보다 낮은 신뢰도.
doodad	BTtw	unknown	tree_or_wood_blocker	medium	static_tree_blocker	no	yes		-													562	tree_or_wood_blocker	doo_rawcode_counts/spatial	대량 배치된 나무/목재 blocker. 플레이어 buildable fence는 아니지만 정적 장애물 참고.
doodad	VOfl	unknown	village_or_structure_prop	medium	static_fence_or_village_prop	no	unknown		-													26	village_or_structure_prop	doo_rawcode_counts/spatial; first doo rows form a line near x 992..3104 y -4320..-2272	시작 구역 주변의 village/structure prop 후보. 시각적 울타리/구역 경계 참고.
doodad	YTpb	unknown	cityscape_prop	low	static_wall_or_city_prop	no	unknown		-													96	cityscape_prop	doo_rawcode_counts/spatial	도시/벽 계열 prop 가능성. 원본 구역 장식 참고용.
doodad	D000	unknown	dungeon_or_ruin_prop	low	static_ruin_prop	no	unknown		-													15	dungeon_or_ruin_prop	doo_rawcode_counts/spatial	폐허/던전 prop 후보. 방어 건물 후보는 아니고 장애물 감각 참고.
doodad	VSvb	unknown	village_or_structure_prop	low	static_village_prop	no	unknown		-													10	village_or_structure_prop	doo_rawcode_counts/spatial	마을 구조물 prop 후보. 신규 에셋 레퍼런스용.
